QID,Question,Option 1/A,Hypothesis 1/A,OpenIE Triplets 1/A,Option 2/B,Hypothesis 2/B,OpenIE Triplets 2/B,Option 3/C,Hypothesis 3/C,OpenIE Triplets 3/C,Option 4/D,Hypothesis 4/D,OpenIE Triplets 4/D,Option 5/E,Hypothesis 5/E,OpenIE Triplets5/E
Mercury_SC_407400,A class plans an investigation to see which brand of light bulb lasts the longest. Which of these steps should come first?,Repeat the investigation.,A class plans an investigation to see which brand of light bulb lasts the longest. Repeat the investigation of these steps should come first.,class --- plans --> investigation see ||,Write a report of the results.,A class plans an investigation to see which brand of light bulb lasts the longest. Write a report of the results of these steps should come first.,class --- plans --> investigation see ||,Make a table for recording data.,A class plans an investigation to see which brand of light bulb lasts the longest. Make a table for recording data of these steps should come first.,class --- plans --> investigation see ||,Make daily observations of the light bulbs.,A class plans an investigation to see which brand of light bulb lasts the longest. Make daily observations of the light bulbs of these steps should come first.,class --- plans --> investigation see ||,NA,NA,NA
Mercury_7212993,Which of these gases is the most abundant greenhouse gas in the lower atmosphere of Earth?,ozone,Ozone of these gases is the most abundant greenhouse gas in the lower atmosphere of Earth.,end result --- is --> production || end result --- is production of --> sugar || end result --- is in --> process of photosynthesis || chemical energy --- is absorbed through --> roots step || chemical energy --- is --> absorbed || roots step --- signals --> beginning || roots step --- signals --> beginning of photosynthesis || signals --- beginning of --> photosynthesis || gases --- ozone of is --> most abundant greenhouse gas in lower atmosphere of earth || gases --- ozone of is --> abundant greenhouse gas in atmosphere || gases --- ozone of is --> greenhouse gas in atmosphere || gases --- ozone of is --> most abundant greenhouse gas in lower atmosphere || gases --- ozone of is --> most abundant greenhouse gas in atmosphere of earth || gases --- ozone of is --> abundant greenhouse gas in lower atmosphere of earth || gases --- ozone of is --> greenhouse gas || gases --- ozone of is --> greenhouse gas in atmosphere of earth || gases --- ozone of is --> most abundant greenhouse gas in atmosphere || gases --- ozone of is --> abundant greenhouse gas in atmosphere of earth || gases --- ozone of is --> abundant greenhouse gas in lower atmosphere || gases --- ozone of is --> greenhouse gas in lower atmosphere || ozone --- is --> greenhouse gas || ozone --- is --> most abundant greenhouse gas in lower atmosphere || ozone --- is --> greenhouse gas in lower atmosphere || ozone --- is --> most abundant greenhouse gas in atmosphere || ozone --- is --> most abundant greenhouse gas || ozone --- is --> abundant greenhouse gas in atmosphere of earth || ozone --- is --> abundant greenhouse gas || ozone --- is --> greenhouse gas in lower atmosphere of earth || ozone --- is --> abundant greenhouse gas in lower atmosphere || ozone --- is --> most abundant greenhouse gas in atmosphere of earth || ozone --- is --> abundant greenhouse gas in lower atmosphere of earth || ozone --- is --> greenhouse gas in atmosphere of earth || abundant greenhouse gas --- is in --> lower atmosphere of earth ||,methane,Methane of these gases is the most abundant greenhouse gas in the lower atmosphere of Earth.,methane --- is --> most abundant greenhouse gas in atmosphere of earth || methane --- is --> abundant greenhouse gas in atmosphere || methane --- is --> abundant greenhouse gas in lower atmosphere of earth || methane --- is --> abundant greenhouse gas in atmosphere of earth || methane --- is --> abundant greenhouse gas in lower atmosphere || methane --- is --> most abundant greenhouse gas in lower atmosphere of earth || methane --- is --> greenhouse gas in atmosphere of earth || methane --- is --> abundant greenhouse gas || methane --- is --> greenhouse gas in atmosphere || methane --- is --> greenhouse gas in lower atmosphere of earth || methane --- is --> greenhouse gas || methane --- is --> most abundant greenhouse gas in atmosphere || methane --- is --> most abundant greenhouse gas in lower atmosphere || methane --- is --> most abundant greenhouse gas || methane --- is --> greenhouse gas in lower atmosphere || gases --- methane of is --> abundant greenhouse gas || gases --- methane of is --> most abundant greenhouse gas in lower atmosphere || gases --- methane of is --> abundant greenhouse gas in lower atmosphere || gases --- methane of is --> greenhouse gas in lower atmosphere of earth || gases --- methane of is --> greenhouse gas || gases --- methane of is --> most abundant greenhouse gas || gases --- methane of is --> abundant greenhouse gas in atmosphere || gases --- methane of is --> most abundant greenhouse gas in atmosphere || gases --- methane of is --> abundant greenhouse gas in lower atmosphere of earth || gases --- methane of is --> most abundant greenhouse gas in atmosphere of earth || gases --- methane of is --> most abundant greenhouse gas in lower atmosphere of earth || gases --- methane of is --> abundant greenhouse gas in atmosphere of earth || gases --- methane of is --> greenhouse gas in lower atmosphere || gases --- methane of is --> greenhouse gas in atmosphere of earth || gases --- methane of is --> greenhouse gas in atmosphere || abundant greenhouse gas --- is in --> lower atmosphere of earth ||,water vapor,Water vapor of these gases is the most abundant greenhouse gas in the lower atmosphere of Earth.,water vapor --- is --> most abundant greenhouse gas in lower atmosphere || water vapor --- is --> greenhouse gas || water vapor --- is --> greenhouse gas in atmosphere || water vapor --- is --> most abundant greenhouse gas || water vapor --- is --> greenhouse gas in atmosphere of earth || water vapor --- is --> greenhouse gas in lower atmosphere of earth || water vapor --- is --> abundant greenhouse gas in lower atmosphere || water vapor --- is --> most abundant greenhouse gas in atmosphere || water vapor --- is --> abundant greenhouse gas || water vapor --- is --> abundant greenhouse gas in atmosphere || water vapor --- is --> greenhouse gas in lower atmosphere || water vapor --- is --> most abundant greenhouse gas in atmosphere of earth || water vapor --- is --> abundant greenhouse gas in atmosphere of earth || water vapor --- is --> abundant greenhouse gas in lower atmosphere of earth || water vapor --- is --> most abundant greenhouse gas in lower atmosphere of earth || gases --- vapor of is --> abundant greenhouse gas || gases --- vapor of is --> greenhouse gas in atmosphere || gases --- vapor of is --> most abundant greenhouse gas || gases --- vapor of is --> most abundant greenhouse gas in lower atmosphere || gases --- vapor of is --> most abundant greenhouse gas in atmosphere || gases --- vapor of is --> most abundant greenhouse gas in atmosphere of earth || gases --- vapor of is --> abundant greenhouse gas in atmosphere || gases --- vapor of is --> greenhouse gas in atmosphere of earth || gases --- vapor of is --> greenhouse gas in lower atmosphere || gases --- vapor of is --> abundant greenhouse gas in lower atmosphere of earth || gases --- vapor of is --> abundant greenhouse gas in lower atmosphere || gases --- vapor of is --> greenhouse gas in lower atmosphere of earth || gases --- vapor of is --> most abundant greenhouse gas in lower atmosphere of earth || gases --- vapor of is --> greenhouse gas || gases --- vapor of is --> abundant greenhouse gas in atmosphere of earth || abundant greenhouse gas --- is in --> lower atmosphere of earth ||,carbon dioxide,Carbon dioxide of these gases is the most abundant greenhouse gas in the lower atmosphere of Earth.,carbon dioxide --- is --> greenhouse gas in lower atmosphere of earth || carbon dioxide --- is --> abundant greenhouse gas in lower atmosphere of earth || carbon dioxide --- is --> most abundant greenhouse gas in lower atmosphere || carbon dioxide --- is --> greenhouse gas in atmosphere || carbon dioxide --- is --> most abundant greenhouse gas in lower atmosphere of earth || carbon dioxide --- is --> abundant greenhouse gas in atmosphere || carbon dioxide --- is --> abundant greenhouse gas in atmosphere of earth || carbon dioxide --- is --> greenhouse gas || carbon dioxide --- is --> greenhouse gas in atmosphere of earth || carbon dioxide --- is --> most abundant greenhouse gas in atmosphere || carbon dioxide --- is --> greenhouse gas in lower atmosphere || carbon dioxide --- is --> abundant greenhouse gas in lower atmosphere || carbon dioxide --- is --> most abundant greenhouse gas || carbon dioxide --- is --> abundant greenhouse gas || carbon dioxide --- is --> most abundant greenhouse gas in atmosphere of earth || gases --- dioxide of is --> most abundant greenhouse gas in lower atmosphere || gases --- dioxide of is --> most abundant greenhouse gas || gases --- dioxide of is --> abundant greenhouse gas in atmosphere || gases --- dioxide of is --> abundant greenhouse gas || gases --- dioxide of is --> greenhouse gas in lower atmosphere of earth || gases --- dioxide of is --> most abundant greenhouse gas in lower atmosphere of earth || gases --- dioxide of is --> greenhouse gas in lower atmosphere || gases --- dioxide of is --> abundant greenhouse gas in lower atmosphere of earth || gases --- dioxide of is --> most abundant greenhouse gas in atmosphere || gases --- dioxide of is --> abundant greenhouse gas in lower atmosphere || gases --- dioxide of is --> abundant greenhouse gas in atmosphere of earth || gases --- dioxide of is --> greenhouse gas in atmosphere of earth || gases --- dioxide of is --> most abundant greenhouse gas in atmosphere of earth || gases --- dioxide of is --> greenhouse gas in atmosphere || gases --- dioxide of is --> greenhouse gas || abundant greenhouse gas --- is in --> lower atmosphere of earth ||,NA,NA,NA
Mercury_SC_413240,At which temperature does water freeze?,0 degrees Celsius,At 0 degrees celsius temperature does water freeze.,0 degrees celsius temperature --- does --> water freeze ||,32 degrees Celsius,At 32 degrees celsius temperature does water freeze.,32 degrees celsius temperature --- does --> water freeze ||,100 degrees Celsius,At 100 degrees celsius temperature does water freeze.,100 degrees celsius temperature --- does --> water freeze ||,212 degrees Celsius,At 212 degrees celsius temperature does water freeze.,212 degrees celsius temperature --- does --> water freeze ||,NA,NA,NA
Mercury_7186358,"Fossil bones and teeth of dinosaurs have been researched for the last century. Recent discoveries of fossilized dinosaurs have also revealed details of soft tissues, such as skin. Which is best for a scientist to do when reporting research on dinosaurs now?",exclude research on teeth or bones,"Fossil bones and teeth of dinosaurs have been researched for the last century. Recent discoveries of fossilized dinosaurs have also revealed details of soft tissues, such as skin. Exclude research on teeth or bones is best for a scientist to do when reporting research on dinosaurs now.",bones --- have --> have researched || bones --- have --> have researched for century || bones --- have --> have researched for last century || fossil bones --- have --> have researched for last century || fossil bones --- have --> have researched for century || fossil bones --- have --> have researched || discoveries --- have also revealed --> details || discoveries --- have revealed --> details || discoveries --- have also revealed --> details of soft tissues || discoveries --- have revealed --> details of soft tissues || discoveries --- have also revealed --> details of tissues || discoveries --- have revealed --> details of tissues || recent discoveries --- have also revealed --> details of soft tissues || recent discoveries --- have revealed --> details of soft tissues || recent discoveries --- have also revealed --> details of tissues || recent discoveries --- have revealed --> details of tissues || recent discoveries --- have also revealed --> details || recent discoveries --- have revealed --> details || scientist --- reporting now --> research || scientist --- reporting --> research || scientist --- reporting now --> research on dinosaurs || scientist --- reporting --> research on dinosaurs ||,predict what the next discovery will be,"Fossil bones and teeth of dinosaurs have been researched for the last century. Recent discoveries of fossilized dinosaurs have also revealed details of soft tissues, such as skin. Predict what the next discovery will be is best for a scientist to do when reporting research on dinosaurs now.",bones --- have --> have researched || bones --- have --> have researched for century || bones --- have --> have researched for last century || fossil bones --- have --> have researched for last century || fossil bones --- have --> have researched for century || fossil bones --- have --> have researched || discoveries --- have also revealed --> details || discoveries --- have revealed --> details || discoveries --- have also revealed --> details of soft tissues || discoveries --- have revealed --> details of soft tissues || discoveries --- have also revealed --> details of tissues || discoveries --- have revealed --> details of tissues || recent discoveries --- have also revealed --> details of soft tissues || recent discoveries --- have revealed --> details of soft tissues || recent discoveries --- have also revealed --> details of tissues || recent discoveries --- have revealed --> details of tissues || recent discoveries --- have also revealed --> details || recent discoveries --- have revealed --> details || next discovery --- be --> best || scientist --- reporting now --> research || scientist --- reporting --> research || scientist --- reporting now --> research on dinosaurs || scientist --- reporting --> research on dinosaurs || discovery --- be --> best ||,analyze new data as it becomes available,"Fossil bones and teeth of dinosaurs have been researched for the last century. Recent discoveries of fossilized dinosaurs have also revealed details of soft tissues, such as skin. Analyze new data as it becomes available is best for a scientist to do when reporting research on dinosaurs now.",bones --- have --> have researched || bones --- have --> have researched for century || bones --- have --> have researched for last century || fossil bones --- have --> have researched for last century || fossil bones --- have --> have researched for century || fossil bones --- have --> have researched || discoveries --- have also revealed --> details || discoveries --- have revealed --> details || discoveries --- have also revealed --> details of soft tissues || discoveries --- have revealed --> details of soft tissues || discoveries --- have also revealed --> details of tissues || discoveries --- have revealed --> details of tissues || recent discoveries --- have also revealed --> details of soft tissues || recent discoveries --- have revealed --> details of soft tissues || recent discoveries --- have also revealed --> details of tissues || recent discoveries --- have revealed --> details of tissues || recent discoveries --- have also revealed --> details || recent discoveries --- have revealed --> details || scientist --- reporting now --> research || scientist --- reporting --> research || scientist --- reporting now --> research on dinosaurs || scientist --- reporting --> research on dinosaurs || it --- becomes --> available ||,delete earlier reports that were missing the new findings,"Fossil bones and teeth of dinosaurs have been researched for the last century. Recent discoveries of fossilized dinosaurs have also revealed details of soft tissues, such as skin. Delete earlier reports that were missing the new findings is best for a scientist to do when reporting research on dinosaurs now.",bones --- have --> have researched || bones --- have --> have researched for century || bones --- have --> have researched for last century || fossil bones --- have --> have researched for last century || fossil bones --- have --> have researched for century || fossil bones --- have --> have researched || discoveries --- have also revealed --> details || discoveries --- have revealed --> details || discoveries --- have also revealed --> details of soft tissues || discoveries --- have revealed --> details of soft tissues || discoveries --- have also revealed --> details of tissues || discoveries --- have revealed --> details of tissues || recent discoveries --- have also revealed --> details of soft tissues || recent discoveries --- have revealed --> details of soft tissues || recent discoveries --- have also revealed --> details of tissues || recent discoveries --- have revealed --> details of tissues || recent discoveries --- have also revealed --> details || recent discoveries --- have revealed --> details || scientist --- reporting now --> research || scientist --- reporting --> research || scientist --- reporting now --> research on dinosaurs || scientist --- reporting --> research on dinosaurs ||,NA,NA,NA
MDSA_2007_8_3,Logging companies cut trees in a forest and send the trees to lumber mills far from the forest. The mills make boards that are used for construction. Some logging companies do not plant tree seedlings after cutting trees. Not planting tree seedlings might affect people who need boards in the future because,the price of boards will increase,Logging companies cut trees in a forest and send the trees to lumber mills far from the forest. The mills make boards that are used for construction. Some logging companies do not plant tree seedlings after cutting trees. Not planting tree seedlings might affect people the price of boards will increase need boards in the future because,logging companies --- send --> trees || logging companies --- cut --> trees || logging companies --- cut trees in --> forest || companies --- send --> trees || companies --- cut --> trees || companies --- cut trees in --> forest ||,the price of boards will decrease,Logging companies cut trees in a forest and send the trees to lumber mills far from the forest. The mills make boards that are used for construction. Some logging companies do not plant tree seedlings after cutting trees. Not planting tree seedlings might affect people the price of boards will decrease need boards in the future because,logging companies --- send --> trees || logging companies --- cut --> trees || logging companies --- cut trees in --> forest || companies --- send --> trees || companies --- cut --> trees || companies --- cut trees in --> forest || price --- decrease --> need boards || price --- decrease need boards in --> future || need boards --- price of --> boards ||,there will be more boards available,Logging companies cut trees in a forest and send the trees to lumber mills far from the forest. The mills make boards that are used for construction. Some logging companies do not plant tree seedlings after cutting trees. Not planting tree seedlings might affect people there will be more boards available need boards in the future because,logging companies --- send --> trees || logging companies --- cut --> trees || logging companies --- cut trees in --> forest || companies --- send --> trees || companies --- cut --> trees || companies --- cut trees in --> forest || will more boards --- is in --> future ||,there will be more trees for logging,Logging companies cut trees in a forest and send the trees to lumber mills far from the forest. The mills make boards that are used for construction. Some logging companies do not plant tree seedlings after cutting trees. Not planting tree seedlings might affect people there will be more trees for logging need boards in the future because,logging companies --- send --> trees || logging companies --- cut --> trees || logging companies --- cut trees in --> forest || companies --- send --> trees || companies --- cut --> trees || companies --- cut trees in --> forest ||,NA,NA,NA
Mercury_7094290,"It was once thought that living organisms could come from non-living matter. For example, people believed that flies would develop from rotting meat. This idea was later disproved primarily because of",the discovery of the atom.,"It was once thought that living organisms could come from non-living matter. For example, people believed that flies would develop from rotting meat. This idea was later disproved primarily because of the discovery of the atom.",it --- was --> thought || it --- was --> once thought || people --- believed for --> example || idea --- was later disproved because of --> discovery of atom || idea --- was disproved because of --> discovery of atom || idea --- was later disproved because of --> primarily discovery of atom || idea --- was disproved because of --> primarily discovery of atom || idea --- was --> disproved || idea --- was later disproved because of --> discovery || idea --- was disproved because of --> discovery || idea --- was --> later disproved || idea --- was later disproved because of --> primarily discovery || idea --- was disproved because of --> primarily discovery ||,better surgical techniques.,"It was once thought that living organisms could come from non-living matter. For example, people believed that flies would develop from rotting meat. This idea was later disproved primarily because of better surgical techniques.",it --- was --> thought || it --- was --> once thought || people --- believed for --> example || idea --- was later disproved because of --> better surgical techniques || idea --- was disproved because of --> better surgical techniques || idea --- was later disproved because of --> better techniques || idea --- was disproved because of --> better techniques || idea --- was later disproved because of --> primarily techniques || idea --- was disproved because of --> primarily techniques || idea --- was later disproved because of --> primarily better techniques || idea --- was disproved because of --> primarily better techniques || idea --- was --> disproved || idea --- was later disproved because of --> primarily better surgical techniques || idea --- was disproved because of --> primarily better surgical techniques || idea --- was later disproved because of --> surgical techniques || idea --- was disproved because of --> surgical techniques || idea --- was --> later disproved || idea --- was later disproved because of --> primarily surgical techniques || idea --- was disproved because of --> primarily surgical techniques || idea --- was later disproved because of --> techniques || idea --- was disproved because of --> techniques ||,continued experimentation.,"It was once thought that living organisms could come from non-living matter. For example, people believed that flies would develop from rotting meat. This idea was later disproved primarily because of continued experimentation.",it --- was --> thought || it --- was --> once thought || people --- believed for --> example || idea --- was later disproved because of --> experimentation || idea --- was disproved because of --> experimentation || idea --- was later disproved because of --> primarily experimentation || idea --- was disproved because of --> primarily experimentation || idea --- was --> disproved || idea --- was later disproved because of --> continued experimentation || idea --- was disproved because of --> continued experimentation || idea --- was later disproved because of --> primarily continued experimentation || idea --- was disproved because of --> primarily continued experimentation || idea --- was --> later disproved ||,the invention of the microscope.,"It was once thought that living organisms could come from non-living matter. For example, people believed that flies would develop from rotting meat. This idea was later disproved primarily because of the invention of the microscope.",organisms --- live in --> oceans || tiny organisms --- live in --> oceans || plankton --- can take --> energy || plankton --- turn --> it || plankton --- can take energy from --> sun || idea --- was later disproved because of --> invention of microscope || idea --- was disproved because of --> invention of microscope || idea --- was --> disproved || idea --- was later disproved because of --> invention || idea --- was disproved because of --> invention || idea --- was later disproved because of --> primarily invention || idea --- was disproved because of --> primarily invention || idea --- was --> later disproved ||,NA,NA,NA
Mercury_7186568,Cells take in food for energy. The part of the cell that aids in digestion of the food is the lysosome. What is the main role of lysosomes in the process of food digestion?,building proteins,Cells take in food for energy. The part of the cell that aids in digestion of the food is the lysosome. Building proteins is the main role of lysosomes in the process of food digestion.,cells --- take in --> food || cells --- take in --> food for energy || part --- is --> lysosome || building proteins --- is --> role of lysosomes in process of food digestion || building proteins --- is role in --> process of food digestion || building proteins --- is main role in --> process of food digestion || building proteins --- is role in --> process || building proteins --- is main role in --> process || building proteins --- is --> role || building proteins --- is --> main role of lysosomes in process || building proteins --- is --> role of lysosomes in process || building proteins --- is --> main role of lysosomes in process of food digestion || building proteins --- is role of --> lysosomes || building proteins --- is main role of --> lysosomes || building proteins --- is --> main role || main role --- is in --> process of food digestion ||,breaking down wastes,Cells take in food for energy. The part of the cell that aids in digestion of the food is the lysosome. Breaking down wastes is the main role of lysosomes in the process of food digestion.,cells --- take in --> food || cells --- take in --> food for energy || part --- is --> lysosome || main role --- is in --> process of food digestion ||,controlling the activities of the cell,Cells take in food for energy. The part of the cell that aids in digestion of the food is the lysosome. Controlling the activities of the cell is the main role of lysosomes in the process of food digestion.,cells --- take in --> food || cells --- take in --> food for energy || part --- is --> lysosome || main role --- is in --> process of food digestion ||,converting energy from one form into another,Cells take in food for energy. The part of the cell that aids in digestion of the food is the lysosome. Converting energy from one form into another is the main role of lysosomes in the process of food digestion.,petrified palm trees --- are found in --> sedimentary rock near glaciers || petrified palm trees --- are --> found || petrified palm trees --- are found in --> sedimentary rock || petrified palm trees --- are found in --> rock near glaciers || petrified palm trees --- are found in --> rock || palm trees --- are found in --> rock || palm trees --- are --> found || palm trees --- are found in --> rock near glaciers || palm trees --- are found in --> sedimentary rock || palm trees --- are found in --> sedimentary rock near glaciers || presence --- likely provides --> evidence || presence --- provides --> evidence || presence --- most likely provides --> evidence || presence --- likely provides --> evidence for there || presence --- provides --> evidence for there || presence --- most likely provides --> evidence for there || evidence --- presence of --> palm trees || evidence --- presence of --> petrified palm trees || active faults --- is in --> area statement ||,NA,NA,NA
Mercury_402216,"When an electric current is passed through water (H_{2}O) using a specific apparatus, hydrogen (H_{2}) and oxygen (O_{2}) gases form. How can this reaction be shown in a chemical equation?",H_{2}O -> H + O + H,"When an electric current is passed through water (H_{2}O) using a specific apparatus, hydrogen (H_{2}) and oxygen (O_{2}) gases form. H_{2}O -> H + O + H can this reaction be shown in a chemical equation.",current --- is passed through --> h _ 2 o || current --- using --> specific apparatus || current --- is --> passed || current --- is --> when passed through water || current --- using --> hydrogen gases || current --- is --> when passed || current --- is passed through --> water || current --- using --> apparatus || electric current --- using --> apparatus || electric current --- is --> when passed through water || electric current --- is passed through --> water || electric current --- is --> when passed || electric current --- is passed through --> h _ 2 o || electric current --- is --> passed || electric current --- using --> hydrogen gases || electric current --- using --> specific apparatus ||,2H_{2}O(l) -> 2H_{2}(g) + O_{2}(g),"When an electric current is passed through water (H_{2}O) using a specific apparatus, hydrogen (H_{2}) and oxygen (O_{2}) gases form. 2H_{2}O(l) -> 2H_{2}(g) + O_{2}(g) can this reaction be shown in a chemical equation.",current --- is passed through --> h _ 2 o || current --- using --> specific apparatus || current --- is --> passed || current --- is --> when passed through water || current --- using --> hydrogen gases || current --- is --> when passed || current --- is passed through --> water || current --- using --> apparatus || electric current --- using --> apparatus || electric current --- is --> when passed through water || electric current --- is passed through --> water || electric current --- is --> when passed || electric current --- is passed through --> h _ 2 o || electric current --- is --> passed || electric current --- using --> hydrogen gases || electric current --- using --> specific apparatus || reaction --- can --> > can shown in chemical equation || reaction --- can --> can shown in equation || reaction --- can --> > can shown in equation || reaction --- can --> can shown || reaction --- can --> > can shown || reaction --- can --> can shown in chemical equation ||,H:O:H -> H_{2}O,"When an electric current is passed through water (H_{2}O) using a specific apparatus, hydrogen (H_{2}) and oxygen (O_{2}) gases form. H:O:H -> H_{2}O can this reaction be shown in a chemical equation.",current --- is passed through --> h _ 2 o || current --- using --> specific apparatus || current --- is --> passed || current --- is --> when passed through water || current --- using --> hydrogen gases || current --- is --> when passed || current --- is passed through --> water || current --- using --> apparatus || electric current --- using --> apparatus || electric current --- is --> when passed through water || electric current --- is passed through --> water || electric current --- is --> when passed || electric current --- is passed through --> h _ 2 o || electric current --- is --> passed || electric current --- using --> hydrogen gases || electric current --- using --> specific apparatus ||,H_{2}O(l) -> 2H(g) + O(g),"When an electric current is passed through water (H_{2}O) using a specific apparatus, hydrogen (H_{2}) and oxygen (O_{2}) gases form. H_{2}O(l) -> 2H(g) + O(g) can this reaction be shown in a chemical equation.",current --- is passed through --> h _ 2 o || current --- using --> specific apparatus || current --- is --> passed || current --- is --> when passed through water || current --- using --> hydrogen gases || current --- is --> when passed || current --- is passed through --> water || current --- using --> apparatus || electric current --- using --> apparatus || electric current --- is --> when passed through water || electric current --- is passed through --> water || electric current --- is --> when passed || electric current --- is passed through --> h _ 2 o || electric current --- is --> passed || electric current --- using --> hydrogen gases || electric current --- using --> specific apparatus || reaction --- can --> > can shown in chemical equation || reaction --- can --> can shown in equation || reaction --- can --> > can shown in equation || reaction --- can --> can shown || reaction --- can --> > can shown || reaction --- can --> can shown in chemical equation ||,NA,NA,NA
Mercury_404894,Which is a fact about penguins?,Penguins can live in climates with freezing temperatures.,Penguins can live in climates with freezing temperatures is a fact about penguins.,penguins --- can live in --> climates with freezing temperatures || penguins --- can live in --> climates || penguins --- can live in --> climates with temperatures || climates --- is with --> freezing temperatures || penguins can live --- is --> fact || penguins can live --- is fact about --> penguins ||,Penguins are fierce competitors.,Penguins are fierce competitors is a fact about penguins.,competitors --- is fact about --> penguins || competitors --- is --> fact || penguins --- are --> competitors || penguins --- are --> fierce competitors || fierce competitors --- is fact about --> penguins || fierce competitors --- is --> fact ||,Penguins are some of the most beautiful birds.,Penguins are some of the most beautiful birds is a fact about penguins.,penguins --- are --> some ||,Penguins make great pets.,Penguins make great pets is a fact about penguins.,penguins --- make --> pets || penguins --- make --> great pets ||,NA,NA,NA
MCAS_2002_8_11,"A glass of water at 110°F is placed in a room next to a glass of water that is 50°F. The temperature of the room is 73°F at all times. If the two glasses were left in the room overnight, the temperature for both glasses of water the next day would be approximately",43°F.,"A glass of water at 110°F is placed in a room next to a glass of water that is 50°F. The temperature of the room is 73°F at all times. If the two glasses were left in the room overnight, the temperature for both glasses of water the next day would be approximately 43°f.",placed --- is f at --> times || placed --- is --> 73 ° f at times || glasses --- were --> left overnight || glasses --- were left overnight in --> room || glasses --- were left in --> room || glasses --- were --> left || day --- would --> would approximately 43 ° f. || two glasses --- were left overnight in --> room || two glasses --- were left in --> room || two glasses --- were --> left || two glasses --- were --> left overnight || next day --- would --> would approximately 43 ° f. ||,50°F.,"A glass of water at 110°F is placed in a room next to a glass of water that is 50°F. The temperature of the room is 73°F at all times. If the two glasses were left in the room overnight, the temperature for both glasses of water the next day would be approximately 50°f.",placed --- is f at --> times || placed --- is --> 73 ° f at times || glasses --- were --> left overnight || glasses --- were left overnight in --> room || glasses --- were left in --> room || glasses --- were --> left || two glasses --- were left overnight in --> room || two glasses --- were left in --> room || two glasses --- were --> left || two glasses --- were --> left overnight || day --- would --> would approximately 50 ° f. || next day --- would --> would approximately 50 ° f. ||,73°F.,"A glass of water at 110°F is placed in a room next to a glass of water that is 50°F. The temperature of the room is 73°F at all times. If the two glasses were left in the room overnight, the temperature for both glasses of water the next day would be approximately 73°f.",placed --- is f at --> times || placed --- is --> 73 ° f at times || glasses --- were --> left overnight || glasses --- were left overnight in --> room || glasses --- were left in --> room || glasses --- were --> left || two glasses --- were left overnight in --> room || two glasses --- were left in --> room || two glasses --- were --> left || two glasses --- were --> left overnight || day --- would --> would approximately 73 ° f. || next day --- would --> would approximately 73 ° f. ||,90°F.,"A glass of water at 110°F is placed in a room next to a glass of water that is 50°F. The temperature of the room is 73°F at all times. If the two glasses were left in the room overnight, the temperature for both glasses of water the next day would be approximately 90°f.",placed --- is f at --> times || placed --- is --> 73 ° f at times || next day --- would --> would approximately 90 ° f. || glasses --- were --> left overnight || glasses --- were left overnight in --> room || glasses --- were left in --> room || glasses --- were --> left || two glasses --- were left overnight in --> room || two glasses --- were left in --> room || two glasses --- were --> left || two glasses --- were --> left overnight || day --- would --> would approximately 90 ° f. ||,NA,NA,NA
Mercury_SC_405086,"Snow, rain, hail, and fog are all forms of",gas.,"Snow, rain, hail, and fog are all forms of gas.",rain --- are forms of --> gas || rain --- are --> forms of gas || snow --- are forms of --> gas || snow --- are --> forms of gas || hail --- are --> forms of gas || hail --- are forms of --> gas || fog --- are forms of --> gas ||,water.,"Snow, rain, hail, and fog are all forms of water.",rain --- are forms of --> water || rain --- are --> forms of water || snow --- are --> forms of water || snow --- are forms of --> water || hail --- are --> forms of water || hail --- are forms of --> water || fog --- are forms of --> water ||,wind.,"Snow, rain, hail, and fog are all forms of wind.",snow --- are forms of --> wind || snow --- are --> forms of wind || rain --- are forms of --> wind || rain --- are --> forms of wind || hail --- are forms of --> wind || hail --- are --> forms of wind || fog --- are forms of --> wind ||,clouds.,"Snow, rain, hail, and fog are all forms of clouds.",hail --- are --> forms of clouds || hail --- are forms of --> clouds || snow --- are forms of --> clouds || snow --- are --> forms of clouds || rain --- are --> forms of clouds || rain --- are forms of --> clouds || fog --- are forms of --> clouds ||,NA,NA,NA
